python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.15t,CG,S,1,1,2,0,False,SUCCESSFUL,18.28,3.65,22.789514303207397,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t01__r02.txt
3.15t,CG,S,1,1,3,0,False,SUCCESSFUL,18.24,3.65,22.65367317199707,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t01__r03.txt
3.15t,CG,S,1,2,1,0,False,SUCCESSFUL,14.73,4.53,18.922991275787354,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t02__r01.txt
3.15t,CG,S,1,2,2,0,False,SUCCESSFUL,14.83,4.5,19.080134391784668,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t02__r02.txt
3.15t,CG,S,1,2,3,0,False,SUCCESSFUL,14.79,4.51,18.9955997467041,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t02__r03.txt
3.15t,CG,S,1,4,1,0,False,SUCCESSFUL,11.29,5.9,15.25474762916565,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t04__r01.txt
3.15t,CG,S,1,4,2,0,False,SUCCESSFUL,11.15,5.98,15.094994306564331,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t04__r02.txt
3.15t,CG,S,1,4,3,0,False,SUCCESSFUL,12.27,5.43,16.34144926071167,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t04__r03.txt
3.15t,CG,S,1,8,1,0,False,SUCCESSFUL,13.55,4.92,17.903130769729614,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t08__r01.txt
3.15t,CG,S,1,8,2,0,False,SUCCESSFUL,12.84,5.19,16.89127826690674,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t08__r02.txt
3.15t,CG,S,1,8,3,0,False,SUCCESSFUL,13.05,5.11,17.132094621658325,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t08__r03.txt
3.15t,CG,S,1,16,1,0,False,SUCCESSFUL,14.38,4.64,18.605875253677368,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t16__r01.txt
3.15t,CG,S,1,16,2,0,False,SUCCESSFUL,15.51,4.3,19.750890970230103,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t16__r02.txt
3.15t,CG,S,1,16,3,0,False,SUCCESSFUL,15.43,4.32,19.656592845916748,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t16__r03.txt
3.15t,CG,S,1,32,1,0,False,SUCCESSFUL,20.57,3.24,25.167787075042725,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t32__r01.txt
