python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.14t,IS,S,2,1,5,5,0.3,0.3,2.2,2.194
3.14t,IS,S,2,4,5,5,0.1,0.10200000000000001,6.33,6.26
3.14t,IS,S,2,16,5,5,0.13,0.13,5.18,5.1579999999999995
3.14t,IS,S,2,32,5,5,0.22,0.22000000000000003,2.96,2.944
3.14t,IS,S,3,1,5,5,0.0,0.0,355.6,343.554
3.14t,IS,S,3,4,5,5,0.0,0.0,165.92,152.712
3.14t,IS,S,3,16,5,5,0.01,0.01,54.09,52.834
3.14t,IS,S,3,32,5,5,0.02,0.02,28.82,28.095999999999997
3.14t,IS,W,2,1,3,3,4.98,5.016666666666667,2.11,2.09
3.14t,IS,W,2,4,3,3,2.09,2.0966666666666662,5.01,5.003333333333333
3.14t,IS,W,2,16,3,3,3.33,3.3466666666666662,3.15,3.133333333333333
3.14t,IS,W,2,32,3,3,5.98,6.013333333333333,1.75,1.7433333333333334
3.14t,IS,W,3,1,3,3,0.03,0.03,352.19,332.99
3.14t,IS,W,3,4,3,3,0.02,0.02,625.3,613.6166666666667
3.14t,IS,W,3,16,3,3,0.03,0.03,314.77,309.79
3.14t,IS,W,3,32,3,3,0.06,0.06333333333333334,166.49,163.90666666666667
3.14t,MG,S,2,1,5,5,3.12,3.2359999999999998,2.43,2.35
3.14t,MG,S,2,4,5,5,0.88,0.9019999999999999,8.61,8.43
3.14t,MG,S,2,16,5,5,0.35,0.358,22.02,21.336
3.14t,MG,S,2,32,5,5,0.46,0.522,16.39,14.7
3.14t,MG,S,3,1,5,5,0.01,0.01,837.23,833.1900000000002
3.14t,MG,S,3,4,5,5,0.03,0.03,253.05,246.858
3.14t,MG,S,3,16,5,5,0.1,0.10200000000000001,78.0,75.664
3.14t,MG,S,3,32,5,5,0.21,0.284,37.04,29.714
3.14t,MG,W,2,1,3,3,187.98,197.96333333333334,2.59,2.47
3.14t,MG,W,2,4,3,3,48.05,48.19333333333333,10.13,10.096666666666666
3.14t,MG,W,2,16,3,3,13.21,14.093333333333334,36.82,34.586666666666666
3.14t,MG,W,2,32,3,3,8.0,8.263333333333334,60.8,58.9
3.14t,MG,W,3,1,3,3,0.62,0.6233333333333334,780.38,778.7400000000001
3.14t,MG,W,3,4,3,3,0.52,0.6466666666666666,926.77,765.6266666666667
3.14t,MG,W,3,16,3,3,0.55,0.57,886.77,856.4066666666668
3.14t,MG,W,3,32,3,3,0.71,0.77,682.91,636.3033333333333
3.15t,CG,S,2,1,5,5,16.16,16.218,4.12,4.1080000000000005
3.15t,CG,S,2,4,5,5,4.8,4.82,13.89,13.828
3.15t,CG,S,2,16,5,5,3.59,3.624,18.58,18.4
3.15t,CG,S,2,32,5,5,5.8,6.154,11.48,10.85
3.15t,CG,S,3,1,5,5,0.13,0.13,521.77,521.426
3.15t,CG,S,3,4,5,5,0.61,0.6439999999999999,108.52,102.992
3.15t,CG,S,3,16,5,5,0.86,0.882,77.56,75.66600000000001
3.15t,CG,S,3,32,5,5,0.92,0.9460000000000001,72.67,70.564
3.15t,CG,W,2,1,3,3,105.56,106.05,3.98,3.9633333333333334
3.15t,CG,W,2,4,3,3,27.71,27.830000000000002,15.18,15.113333333333335
3.15t,CG,W,2,16,3,3,11.35,11.590000000000002,37.06,36.303333333333335
3.15t,CG,W,2,32,3,3,13.78,13.946666666666665,30.53,30.166666666666668
3.15t,CG,W,3,1,3,3,0.78,0.7866666666666667,539.44,534.1033333333334
3.15t,CG,W,3,4,3,3,4.05,4.103333333333333,103.79,102.54
3.15t,CG,W,3,16,3,3,5.43,5.523333333333333,77.44,76.13
3.15t,CG,W,3,32,3,3,5.7,5.77,73.84,72.96000000000001
3.15t,EP,S,2,1,5,5,42.24,42.513999999999996,0.79,0.79
3.15t,EP,S,2,4,5,5,10.72,10.815999999999999,3.13,3.1
3.15t,EP,S,2,16,5,5,2.9,2.91,11.59,11.538
3.15t,EP,S,2,32,5,5,1.71,1.732,19.59,19.357999999999997
3.15t,EP,S,3,1,5,5,1.44,1.44,23.38,23.348
3.15t,EP,S,3,4,5,5,0.36,0.36,92.65,92.59400000000001
3.15t,EP,S,3,16,5,5,0.19,0.19,175.5,175.166
3.15t,EP,S,3,32,5,5,0.16,0.16,213.42,212.89600000000002
3.15t,EP,W,2,1,3,3,84.76,84.94333333333334,0.79,0.79
3.15t,EP,W,2,4,3,3,21.58,21.903333333333336,3.11,3.063333333333333
3.15t,EP,W,2,16,3,3,5.58,5.590000000000001,12.04,12.006666666666666
3.15t,EP,W,2,32,3,3,3.19,3.1933333333333334,21.05,21.01
3.15t,EP,W,3,1,3,3,2.87,2.8699999999999997,23.4,23.376666666666665
3.15t,EP,W,3,4,3,3,0.72,0.7200000000000001,93.17,93.02
3.15t,EP,W,3,16,3,3,0.37,0.36999999999999994,180.96,180.78666666666666
3.15t,EP,W,3,32,3,3,0.29,0.29,229.46,229.28666666666666
3.15t,FT,S,2,1,5,5,36.27,36.932,4.88,4.795999999999999
3.15t,FT,S,2,4,5,5,11.66,12.044,15.19,14.718
3.15t,FT,S,2,16,5,5,6.53,6.609999999999999,27.14,26.803999999999995
3.15t,FT,S,2,32,5,5,7.61,7.708,23.28,22.990000000000002
3.15t,FT,S,3,1,5,5,2.42,2.428,73.34,72.93800000000002
3.15t,FT,S,3,4,5,5,0.66,0.66,268.77,268.11
3.15t,FT,S,3,16,5,5,0.22,0.22000000000000003,818.35,810.75
3.15t,FT,S,3,32,5,5,0.24,0.25,734.73,714.1460000000001
3.15t,FT,W,2,1,3,3,80.89,81.94666666666666,4.61,4.55
3.15t,FT,W,2,4,3,3,26.56,26.843333333333334,14.03,13.883333333333333
3.15t,FT,W,2,16,3,3,14.22,14.346666666666666,26.21,25.98
3.15t,FT,W,2,32,3,3,17.02,17.173333333333332,21.89,21.703333333333333
3.15t,FT,W,3,1,3,3,4.86,4.883333333333333,76.61,76.30666666666667
3.15t,FT,W,3,4,3,3,1.3,1.3,286.94,286.53333333333336
3.15t,FT,W,3,16,3,3,0.41,0.41,917.73,912.91
3.15t,FT,W,3,32,3,3,0.42,0.43,884.25,866.4166666666666
3.15t,IS,S,2,1,5,5,0.3,0.3,2.16,2.1580000000000004
3.15t,IS,S,2,4,5,5,0.11,0.11000000000000001,6.08,6.036
3.15t,IS,S,2,16,5,5,0.14,0.14,4.83,4.792
3.15t,IS,S,2,32,5,5,0.24,0.24,2.72,2.7079999999999997
3.15t,IS,S,3,1,5,5,0.0,0.0,381.46,367.104
3.15t,IS,S,3,4,5,5,0.0,0.006,142.77,130.804
3.15t,IS,S,3,16,5,5,0.01,0.01,54.8,50.856
3.15t,IS,S,3,32,5,5,0.02,0.022000000000000002,27.5,26.796000000000003
3.15t,IS,W,2,1,3,3,5.4,5.416666666666667,1.94,1.9333333333333333
3.15t,IS,W,2,4,3,3,2.31,2.316666666666667,4.53,4.523333333333333
3.15t,IS,W,2,16,3,3,3.73,3.75,2.81,2.793333333333333
3.15t,IS,W,2,32,3,3,6.77,6.78,1.55,1.5466666666666666
3.15t,IS,W,3,1,3,3,0.03,0.03,352.36,342.31
3.15t,IS,W,3,4,3,3,0.02,0.02,591.88,587.02
