python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.13t,CG,W,3,8,3,0,False,SUCCESSFUL,4.66,90.32,72.25436091423035,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m3__t08__r03.txt
3.13t,EP,S,2,2,1,0,False,SUCCESSFUL,18.74,1.79,32.88371539115906,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m2__t02__r01.txt
3.13t,EP,S,2,2,2,0,False,SUCCESSFUL,18.57,1.81,32.73653221130371,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m2__t02__r02.txt
3.13t,EP,S,2,2,3,0,False,SUCCESSFUL,18.59,1.8,32.86939024925232,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m2__t02__r03.txt
3.13t,EP,S,2,2,4,0,False,SUCCESSFUL,18.59,1.81,32.70003151893616,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m2__t02__r04.txt
3.13t,EP,S,2,2,5,0,False,SUCCESSFUL,18.57,1.81,32.65638709068298,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m2__t02__r05.txt
3.13t,EP,S,2,8,1,0,False,SUCCESSFUL,4.82,6.97,19.064757347106934,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m2__t08__r01.txt
3.13t,EP,S,2,8,2,0,False,SUCCESSFUL,4.8,7.0,18.920043230056763,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m2__t08__r02.txt
3.13t,EP,S,2,8,3,0,False,SUCCESSFUL,4.69,7.15,18.831857442855835,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m2__t08__r03.txt
3.13t,EP,S,2,8,4,0,False,SUCCESSFUL,4.66,7.2,18.68352437019348,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m2__t08__r04.txt
3.13t,EP,S,2,8,5,0,False,SUCCESSFUL,4.68,7.16,18.808281183242798,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m2__t08__r05.txt
3.13t,EP,S,3,2,1,0,False,SUCCESSFUL,0.72,46.29,27.381077527999878,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m3__t02__r01.txt
3.13t,EP,S,3,2,2,0,False,SUCCESSFUL,0.72,46.54,27.376854419708252,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m3__t02__r02.txt
3.13t,EP,S,3,2,3,0,False,SUCCESSFUL,0.72,46.53,27.373584508895874,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m3__t02__r03.txt
3.13t,EP,S,3,2,4,0,False,SUCCESSFUL,0.72,46.56,27.469398021697998,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m3__t02__r04.txt
3.13t,EP,S,3,2,5,0,False,SUCCESSFUL,0.72,46.54,27.3090922832489,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m3__t02__r05.txt
3.13t,EP,S,3,8,1,0,False,SUCCESSFUL,0.19,180.59,27.1481671333313,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m3__t08__r01.txt
3.13t,EP,S,3,8,2,0,False,SUCCESSFUL,0.19,180.58,26.847179174423218,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m3__t08__r02.txt
3.13t,EP,S,3,8,3,0,False,SUCCESSFUL,0.19,179.37,27.14963150024414,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m3__t08__r03.txt
3.13t,EP,S,3,8,4,0,False,SUCCESSFUL,0.19,178.39,26.943407773971558,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m3__t08__r04.txt
3.13t,EP,S,3,8,5,0,False,SUCCESSFUL,0.19,179.98,26.89045476913452,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__S__m3__t08__r05.txt
3.13t,EP,W,2,2,1,0,False,SUCCESSFUL,37.32,1.8,51.674073219299316,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__W__m2__t02__r01.txt
3.13t,EP,W,2,2,2,0,False,SUCCESSFUL,37.33,1.8,51.78181576728821,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__W__m2__t02__r02.txt
3.13t,EP,W,2,2,3,0,False,SUCCESSFUL,37.26,1.8,51.780163288116455,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__W__m2__t02__r03.txt
3.13t,EP,W,2,8,1,0,False,SUCCESSFUL,9.31,7.21,23.748751163482666,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__W__m2__t08__r01.txt
3.13t,EP,W,2,8,2,0,False,SUCCESSFUL,9.45,7.1,24.01682710647583,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__W__m2__t08__r02.txt
3.13t,EP,W,2,8,3,0,False,SUCCESSFUL,9.38,7.16,23.76990294456482,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__EP__W__m2__t08__r03.txt
