python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.15t,IS,S,3,4,5,5,0.03,0.03,24.88,24.753999999999998
3.15t,IS,S,3,16,5,5,0.13,0.138,4.87,4.794
3.15t,IS,S,3,32,5,5,0.31,0.314,2.1,2.0780000000000003
3.15t,IS,W,2,1,3,3,4.99,5.553333333333334,2.1,1.8966666666666667
3.15t,IS,W,2,4,3,3,6.18,6.23,1.7,1.6833333333333333
3.15t,IS,W,2,16,3,3,11.08,11.673333333333332,0.95,0.9033333333333333
3.15t,IS,W,2,32,3,3,17.42,18.349999999999998,0.6,0.5733333333333334
3.15t,IS,W,3,1,3,3,0.04,0.04,292.86,275.84999999999997
3.15t,IS,W,3,4,3,3,0.07,0.07,142.45,142.37666666666667
3.15t,IS,W,3,16,3,3,0.22,0.22999999999999998,47.4,45.423333333333325
3.15t,IS,W,3,32,3,3,0.47,0.47333333333333333,22.22,22.113333333333333
3.15t,MG,S,2,1,5,5,2.88,3.082,2.64,2.482
3.15t,MG,S,2,4,5,5,3.63,3.636,2.1,2.0919999999999996
3.15t,MG,S,2,16,5,5,4.64,4.662,1.64,1.6320000000000001
3.15t,MG,S,2,32,5,5,6.23,6.354,1.22,1.196
3.15t,MG,S,3,1,5,5,0.01,0.01,598.41,596.856
3.15t,MG,S,3,4,5,5,0.23,0.23399999999999999,32.4,32.36
3.15t,MG,S,3,16,5,5,1.22,1.226,6.24,6.2
3.15t,MG,S,3,32,5,5,2.92,3.006,2.6,2.5300000000000002
3.15t,MG,W,2,1,3,3,173.41,174.01999999999998,2.81,2.796666666666667
3.15t,MG,W,2,4,3,3,175.31,185.67,2.78,2.6366666666666667
3.15t,MG,W,2,16,3,3,206.25,206.54,2.36,2.3533333333333335
3.15t,MG,W,2,32,3,3,178.52,188.71,2.73,2.5933333333333333
3.15t,MG,W,3,1,3,3,0.55,0.5566666666666668,889.78,874.7266666666666
3.15t,MG,W,3,4,3,3,0.84,0.86,578.62,565.4066666666666
3.15t,MG,W,3,16,3,3,2.38,2.4066666666666667,204.19,201.96333333333334
3.15t,MG,W,3,32,3,3,4.38,4.416666666666667,111.03,110.14
