python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,warmup_wall_seconds,perf_task_clock_ms,perf_cpus_utilized,perf_cycles,perf_instructions,perf_ipc,perf_cache_references,perf_cache_misses,perf_cache_miss_ratio,perf_context_switches,perf_cpu_migrations,python_version,node,raw_log
3.14t,IS,W,3,32,1,0,False,SUCCESSFUL,0.08,133.0,1.4398670196533203,1.3917901515960693,5479.05,3.896,14784388499,14227364425,0.9623234958931391,56762775,15238472,0.2684588975785627,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__IS__W__m3__t32__r01.txt
3.14t,MG,W,3,1,1,0,False,SUCCESSFUL,0.45,1072.69,2.2537591457366943,151.8239643573761,5851.77,2.64,16007224335,21509689723,1.3437488769348218,56499021,19778355,0.35006544626675923,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__MG__W__m3__t01__r01.txt
3.14t,MG,W,3,8,1,0,False,SUCCESSFUL,0.56,862.16,2.907247543334961,3.4220054149627686,9867.16,3.442,26516011941,21165213551,0.7982050090373355,123092795,79396721,0.6450151773708608,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-12,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__MG__W__m3__t08__r01.txt
3.14t,MG,W,3,32,1,0,False,SUCCESSFUL,0.81,599.84,2.751181125640869,2.628830671310425,14262.55,5.241,36804014417,23722274717,0.644556717324905,265685789,110114262,0.4144529612007212,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-12,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__MG__W__m3__t32__r01.txt
3.15t,CG,W,3,1,1,0,False,SUCCESSFUL,0.78,539.62,18.05985975265503,62.23304748535156,17852.83,0.991,49689754972,152752191734,3.0741184338718375,96796196,6449026,0.06662478761045527,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__CG__W__m3__t01__r01.txt
3.15t,CG,W,3,8,1,0,False,SUCCESSFUL,4.59,91.59,22.076510667800903,22.054922103881836,53141.26,2.412,147832143195,153152810129,1.035991272391835,285850059,8501973,0.0297427715416354,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__CG__W__m3__t08__r01.txt
3.15t,CG,W,3,32,1,0,False,SUCCESSFUL,6.42,65.52,24.10197114944458,24.16313910484314,143824.05,5.983,399108716244,154386906070,0.386829201634408,400745408,178180383,0.4446223947748891,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__CG__W__m3__t32__r01.txt
3.15t,EP,W,3,1,1,0,False,SUCCESSFUL,2.87,23.36,4.022741079330444,27.065850019454956,3842.37,0.966,10550504987,11492214260,1.0892572700700436,39860386,5902699,0.14808434118023844,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__EP__W__m3__t01__r01.txt
3.15t,EP,W,3,8,1,0,False,SUCCESSFUL,0.37,182.55,1.6978421211242676,1.4458563327789307,4108.1,2.467,11220143164,11499681570,1.024913978539677,40802312,18260977,0.44754760465534404,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__EP__W__m3__t08__r01.txt
3.15t,EP,W,3,16,1,0,False,SUCCESSFUL,0.48,140.23,1.5563561916351318,1.5298190116882324,3866.03,2.553,10564742380,11511972905,1.0896595951826702,42665375,8251961,0.19341119115910735,0,0,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py315t__EP__W__m3__t16__r01.txt
