python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.15t,IS,A,3,16,3,3,1.14,1.15,73.27,72.79666666666667
3.15t,IS,A,3,32,3,3,1.84,1.8433333333333335,45.61,45.53
3.15t,IS,S,0,1,3,3,0.35,0.3499999999999999,1.86,1.8533333333333335
3.15t,IS,S,0,2,3,3,0.39,0.38999999999999996,1.7,1.7
3.15t,IS,S,0,4,3,3,0.44,0.4466666666666667,1.48,1.47
3.15t,IS,S,0,8,3,3,0.56,0.56,1.18,1.17
3.15t,IS,S,0,16,3,3,0.78,0.7833333333333333,0.84,0.8366666666666666
3.15t,IS,S,0,32,3,3,1.24,1.25,0.53,0.5233333333333333
3.15t,IS,S,1,1,3,3,0.35,0.35333333333333333,1.86,1.8466666666666667
3.15t,IS,S,1,2,3,3,0.39,0.38999999999999996,1.7,1.6966666666666665
3.15t,IS,S,1,4,3,3,0.45,0.45,1.47,1.4666666666666668
3.15t,IS,S,1,8,3,3,0.56,0.56,1.17,1.17
3.15t,IS,S,1,16,3,3,0.79,0.79,0.83,0.83
3.15t,IS,S,1,32,3,3,1.27,1.2766666666666666,0.51,0.51
3.15t,IS,S,2,1,3,3,0.32,0.3233333333333333,2.02,2.0166666666666666
3.15t,IS,S,2,2,3,3,0.35,0.3499999999999999,1.89,1.8733333333333333
3.15t,IS,S,2,4,3,3,0.39,0.39333333333333337,1.67,1.66
3.15t,IS,S,2,8,3,3,0.48,0.48,1.36,1.3566666666666667
3.15t,IS,S,2,16,3,3,0.67,0.6766666666666667,0.98,0.9700000000000001
3.15t,IS,S,2,32,3,3,1.06,1.0666666666666667,0.62,0.6133333333333333
3.15t,IS,S,3,1,3,3,0.0,0.0,264.87,263.9866666666667
3.15t,IS,S,3,2,3,3,0.01,0.01,73.35,72.83333333333333
3.15t,IS,S,3,4,3,3,0.03,0.03,24.88,24.853333333333335
3.15t,IS,S,3,8,3,3,0.06,0.06,10.73,10.719999999999999
3.15t,IS,S,3,16,3,3,0.13,0.1366666666666667,4.89,4.753333333333333
3.15t,IS,S,3,32,3,3,0.32,0.32,2.04,2.033333333333333
3.15t,IS,W,2,1,3,3,5.68,5.716666666666666,1.85,1.8333333333333333
3.15t,IS,W,2,2,3,3,6.18,6.196666666666666,1.7,1.6966666666666665
3.15t,IS,W,2,4,3,3,7.13,7.136666666666667,1.47,1.47
3.15t,IS,W,2,8,3,3,9.01,9.026666666666666,1.16,1.16
3.15t,IS,W,2,16,3,3,12.71,12.75,0.83,0.8233333333333333
3.15t,IS,W,2,32,3,3,20.1,20.143333333333334,0.52,0.52
3.15t,IS,W,3,1,3,3,0.04,0.04,266.38,265.2733333333333
3.15t,IS,W,3,2,3,3,0.05,0.05000000000000001,212.51,211.72666666666666
3.15t,IS,W,3,4,3,3,0.07,0.07,142.41,142.18666666666667
3.15t,IS,W,3,8,3,3,0.12,0.12,85.78,85.62
3.15t,IS,W,3,16,3,3,0.24,0.24,44.49,43.82333333333333
3.15t,IS,W,3,32,3,3,0.48,0.48666666666666664,21.63,21.483333333333334
3.15t,MG,A,3,1,3,3,5.13,5.136666666666667,758.35,757.9533333333334
3.15t,MG,A,3,2,3,3,5.25,5.256666666666667,741.5,740.4766666666668
3.15t,MG,A,3,4,3,3,5.54,5.546666666666667,702.44,702.0066666666667
3.15t,MG,A,3,8,3,3,6.09,6.09,639.27,638.9233333333333
3.15t,MG,A,3,16,3,3,7.46,7.476666666666667,521.64,520.5733333333334
3.15t,MG,A,3,32,3,3,10.36,10.463333333333333,375.59,372.00333333333333
3.15t,MG,S,0,1,3,3,3.98,4.016666666666667,1.91,1.8933333333333333
3.15t,MG,S,0,2,3,3,4.21,4.223333333333334,1.81,1.8
3.15t,MG,S,0,4,3,3,4.49,4.506666666666667,1.69,1.6866666666666665
3.15t,MG,S,0,8,3,3,5.04,5.1066666666666665,1.51,1.49
3.15t,MG,S,0,16,3,3,6.27,6.336666666666666,1.21,1.2
3.15t,MG,S,0,32,3,3,9.02,9.073333333333332,0.84,0.8366666666666666
3.15t,MG,S,1,1,3,3,3.97,3.9766666666666666,1.91,1.91
3.15t,MG,S,1,2,3,3,4.17,4.183333333333334,1.82,1.8166666666666667
3.15t,MG,S,1,4,3,3,4.5,4.533333333333333,1.69,1.68
3.15t,MG,S,1,8,3,3,5.12,5.13,1.48,1.4799999999999998
3.15t,MG,S,1,16,3,3,6.36,6.390000000000001,1.19,1.1866666666666665
3.15t,MG,S,1,32,3,3,9.04,9.076666666666666,0.84,0.8366666666666666
3.15t,MG,S,2,1,3,3,3.36,3.3633333333333333,2.26,2.26
3.15t,MG,S,2,2,3,3,3.42,3.4333333333333336,2.22,2.2133333333333334
3.15t,MG,S,2,4,3,3,3.63,3.643333333333333,2.1,2.09
3.15t,MG,S,2,8,3,3,3.93,3.936666666666667,1.94,1.9333333333333333
3.15t,MG,S,2,16,3,3,4.63,4.6499999999999995,1.64,1.6366666666666667
3.15t,MG,S,2,32,3,3,6.22,6.233333333333333,1.22,1.22
3.15t,MG,S,3,1,3,3,0.01,0.01,596.95,596.7600000000001
3.15t,MG,S,3,2,3,3,0.07,0.07,105.36,105.18333333333334
3.15t,MG,S,3,4,3,3,0.23,0.23,32.4,32.36666666666667
3.15t,MG,S,3,8,3,3,0.54,0.5466666666666667,14.0,13.94
3.15t,MG,S,3,16,3,3,1.23,1.2333333333333334,6.19,6.163333333333334
3.15t,MG,S,3,32,3,3,2.93,2.956666666666667,2.59,2.57
3.15t,MG,W,2,1,3,3,203.89,204.34,2.39,2.3833333333333333
3.15t,MG,W,2,2,3,3,204.39,205.07333333333335,2.38,2.373333333333333
3.15t,MG,W,2,4,3,3,204.62,205.34333333333333,2.38,2.3699999999999997
3.15t,MG,W,2,8,3,3,205.68,206.96,2.37,2.3533333333333335
3.15t,MG,W,2,16,3,3,206.3,206.48000000000002,2.36,2.356666666666667
3.15t,MG,W,2,32,3,3,208.43,208.63333333333333,2.33,2.33
3.15t,MG,W,3,1,3,3,0.65,0.65,749.34,748.9033333333333
3.15t,MG,W,3,2,3,3,0.74,0.7399999999999999,658.89,658.39
3.15t,MG,W,3,4,3,3,0.98,0.98,498.97,498.6133333333334
3.15t,MG,W,3,8,3,3,1.44,1.4400000000000002,338.46,338.22666666666663
3.15t,MG,W,3,16,3,3,2.44,2.4433333333333334,199.48,199.1
3.15t,MG,W,3,32,3,3,4.86,4.886666666666667,100.06,99.53000000000002
