python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.15t,CG,S,0,8,1,0,False,SUCCESSFUL,35.68,1.87,42.05606436729431,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140687,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t08__r01.txt
3.15t,CG,S,0,8,2,0,False,SUCCESSFUL,35.91,1.86,42.128886461257935,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140687,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t08__r02.txt
3.15t,CG,S,0,8,3,0,False,SUCCESSFUL,35.88,1.86,42.080092430114746,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140687,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t08__r03.txt
3.15t,CG,S,0,16,1,0,False,SUCCESSFUL,53.89,1.24,61.31604862213135,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140687,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t16__r01.txt
3.15t,CG,S,0,16,2,0,False,SUCCESSFUL,53.98,1.23,61.341588735580444,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140687,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t16__r02.txt
3.15t,CG,S,0,16,3,0,False,SUCCESSFUL,53.02,1.26,60.602112770080566,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140687,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t16__r03.txt
3.15t,CG,S,0,32,1,0,False,SUCCESSFUL,94.38,0.71,104.30684113502502,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140687,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t32__r01.txt
3.15t,CG,S,0,32,2,0,False,SUCCESSFUL,88.74,0.75,100.08973050117493,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140688,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t32__r02.txt
3.15t,CG,S,0,32,3,0,False,SUCCESSFUL,88.82,0.75,98.58015537261963,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140688,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t32__r03.txt
3.15t,CG,S,1,1,1,0,False,SUCCESSFUL,20.5,3.25,25.429818630218506,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140688,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t01__r01.txt
3.15t,CG,S,1,1,2,0,False,SUCCESSFUL,20.43,3.26,25.27433967590332,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140688,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t01__r02.txt
3.15t,CG,S,1,1,3,0,False,SUCCESSFUL,20.93,3.18,25.806077003479004,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140688,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t01__r03.txt
3.15t,CG,S,1,2,1,0,False,SUCCESSFUL,22.56,2.95,27.746508359909058,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140688,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t02__r01.txt
3.15t,CG,S,1,2,2,0,False,SUCCESSFUL,22.66,2.94,27.695233583450317,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140688,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t02__r02.txt
3.15t,CG,S,1,2,3,0,False,SUCCESSFUL,22.63,2.94,27.939709424972534,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-62,7140688,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t02__r03.txt
3.15t,CG,S,1,4,1,0,False,SUCCESSFUL,23.84,2.8,30.00289559364319,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140689,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t04__r01.txt
3.15t,CG,S,1,4,2,0,False,SUCCESSFUL,23.94,2.78,28.828896284103394,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140689,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t04__r02.txt
3.15t,CG,S,1,4,3,0,False,SUCCESSFUL,23.89,2.79,28.79778742790222,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140689,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t04__r03.txt
3.15t,CG,S,1,8,1,0,False,SUCCESSFUL,31.15,2.14,36.670665979385376,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140689,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t08__r01.txt
3.15t,CG,S,1,8,2,0,False,SUCCESSFUL,31.59,2.11,37.02552795410156,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-106,7140689,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m1__t08__r02.txt
